individual	left	right	length	bin
EUR_5	14811750	14835169	23419	3
EUR_5	14995879	15000465	4586	1
EUR_5	16620763	16643210	22447	3
EUR_5	17008231	17049268	41037	6
EUR_5	25063829	25084660	20831	3
EUR_5	25195532	25199710	4178	1
EUR_5	25271432	25408113	136681	18
EUR_5	25560187	25588077	27890	4
EUR_5	30341238	30350365	9127	2
EUR_5	36025195	36139098	113903	15
EUR_5	40538208	40541166	2958	1
EUR_5	41000258	41122696	122438	16
EUR_5	41170307	41265986	95679	13
EUR_5	41284321	41286477	2156	1
EUR_5	46234794	46305737	70943	9
EUR_5	47309597	47314366	4769	1
EUR_5	47359870	47384357	24487	4
EUR_5	1970613	1977804	7191	1
EUR_5	2079943	2092745	12802	2
EUR_5	4027908	4111093	83185	11
EUR_5	11235576	11305525	69949	9
EUR_5	11360944	11401880	40936	6
EUR_5	13126809	13165195	38386	5
EUR_5	13761312	13930944	169632	22
EUR_5	16017613	16026806	9193	2
EUR_5	17795981	17965967	169986	22
EUR_5	25072665	25075933	3268	1
EUR_5	25095346	25106748	11402	2
EUR_5	25319231	25426466	107235	14
EUR_5	31414750	31420442	5692	1
EUR_5	32555637	32557896	2259	1
EUR_5	33198801	33215777	16976	3
EUR_5	36562799	36570547	7748	1
EUR_5	41000258	41024278	24020	4
EUR_5	41202794	41221991	19197	3
EUR_5	47306832	47334656	27824	4
EUR_5	48317426	48338230	20804	3
EUR_6	1930497	2038598	108101	14
EUR_6	2105113	2106323	1210	1
EUR_6	3104088	3104808	720	1
EUR_6	3200939	3295326	94387	12
EUR_6	5430664	5442656	11992	2
EUR_6	6602745	6724200	121455	16
EUR_6	6725945	6730412	4467	1
EUR_6	7671170	7728174	57004	8
EUR_6	10579081	10600945	21864	3
EUR_6	11216018	11305525	89507	12
EUR_6	11360944	11448832	87888	12
EUR_6	12485443	12493640	8197	2
EUR_6	12722250	12727281	5031	1
EUR_6	13779593	13848449	68856	9
EUR_6	17461735	17527378	65643	9
EUR_6	17880841	17983358	102517	13
EUR_6	19634530	19640072	5542	1
EUR_6	23636556	23685874	49318	7
EUR_6	24924971	24992068	67097	9
EUR_6	25563637	25640301	76664	10
EUR_6	31379113	31417248	38135	5
EUR_6	41170307	41185884	15577	2
EUR_6	45262397	45300374	37977	5
EUR_6	47317924	47398829	80905	11
EUR_6	47545020	47598720	53700	7
EUR_6	48317426	48338230	20804	3
EUR_6	1893530	2111905	218375	28
EUR_6	6602745	6693324	90579	12
EUR_6	10600195	10600945	750	1
EUR_6	11237395	11305525	68130	9
EUR_6	11360944	11401880	40936	6
EUR_6	11554510	11705104	150594	20
EUR_6	13779593	13917230	137637	18
EUR_6	15422489	15468482	45993	6
EUR_6	16620763	16643210	22447	3
EUR_6	19332471	19333614	1143	1
EUR_6	25002639	25038480	35841	5
EUR_6	25042635	25096390	53755	7
EUR_6	25174124	25217316	43192	6
EUR_6	25324980	25535269	210289	27
EUR_6	25772135	25783655	11520	2
EUR_6	30527970	30529616	1646	1
EUR_6	31414750	31420442	5692	1
EUR_6	36484847	36506563	21716	3
EUR_6	41018197	41126897	108700	14
EUR_6	41202794	41258211	55417	7
EUR_6	45281764	45291241	9477	2
EUR_7	3397828	3423214	25386	4
EUR_7	3444377	3533432	89055	12
EUR_7	6404273	6444711	40438	6
EUR_7	6602745	6724200	121455	16
EUR_7	10397293	10496133	98840	13
EUR_7	10918022	11122255	204233	26
EUR_7	11216018	11300483	84465	11
EUR_7	19634530	19653747	19217	3
EUR_7	23598533	23685874	87341	12
EUR_7	25371813	25408113	36300	5
