individual	left	right	length	bin
EUR_17	36036358	36045432	9074	2
EUR_17	36520464	36570547	50083	7
EUR_17	41170307	41185884	15577	2
EUR_17	45278228	45291241	13013	2
EUR_17	47967258	47992903	25645	4
EUR_17	2183069	2207970	24901	4
EUR_17	3629717	3635080	5363	1
EUR_17	4774414	4837910	63496	9
EUR_17	6404273	6444711	40438	6
EUR_17	6602745	6724200	121455	16
EUR_17	11066790	11122255	55465	7
EUR_17	11216018	11305525	89507	12
EUR_17	11360944	11448832	87888	12
EUR_17	13223772	13266111	42339	6
EUR_17	13764087	13940655	176568	23
EUR_17	14716633	14761905	45272	6
EUR_17	15159254	15187887	28633	4
EUR_17	15349260	15371253	21993	3
EUR_17	16620763	16643210	22447	3
EUR_17	17008231	17049268	41037	6
EUR_17	17795981	17822038	26057	4
EUR_17	17948508	17983358	34850	5
EUR_17	24984486	25076490	92004	12
EUR_17	25078149	25217316	139167	18
EUR_17	25324980	25442386	117406	15
EUR_17	27580622	27622585	41963	6
EUR_17	30527970	30531255	3285	1
EUR_17	31571161	31650690	79529	11
EUR_17	33316144	33385032	68888	9
EUR_17	41000258	41024278	24020	4
EUR_17	41896558	41897997	1439	1
EUR_17	48317426	48338230	20804	3
EUR_18	1691256	1819789	128533	17
EUR_18	1837654	1904778	67124	9
EUR_18	2445953	2459423	13470	2
EUR_18	2586193	2591704	5511	1
EUR_18	2845976	2851899	5923	1
EUR_18	6602745	6693324	90579	12
EUR_18	10918022	10959989	41967	6
EUR_18	11360944	11448832	87888	12
EUR_18	11576374	11581877	5503	1
EUR_18	11630302	11705104	74802	10
EUR_18	16017613	16026806	9193	2
EUR_18	16635937	16643210	7273	1
EUR_18	19634530	19653747	19217	3
EUR_18	23598533	23685874	87341	12
EUR_18	25103565	25217316	113751	15
EUR_18	25324980	25465358	140378	18
EUR_18	29845482	30005156	159674	21
EUR_18	31397377	31418920	21543	3
EUR_18	31810195	31833429	23234	3
EUR_18	33115326	33138568	23242	3
EUR_18	35922044	36007338	85294	11
EUR_18	48317426	48338230	20804	3
EUR_18	1930497	1951751	21254	3
EUR_18	2586193	2591704	5511	1
EUR_18	3104088	3104808	720	1
EUR_18	4796348	4837910	41562	6
EUR_18	5612849	5648887	36038	5
EUR_18	7641909	7709509	67600	9
EUR_18	7764827	7902344	137517	18
EUR_18	11066790	11122255	55465	7
EUR_18	11216018	11305525	89507	12
EUR_18	11360944	11448832	87888	12
EUR_18	12722250	12725608	3358	1
EUR_18	13943733	13965781	22048	3
EUR_18	14716633	14761905	45272	6
EUR_18	16017613	16026806	9193	2
EUR_18	19206122	19299322	93200	12
EUR_18	19518241	19572494	54253	7
EUR_18	19634530	19653747	19217	3
EUR_18	23598533	23621741	23208	3
EUR_18	25280264	25446530	166266	21
EUR_18	30341238	30350365	9127	2
EUR_18	31871395	31914145	42750	6
EUR_18	32687373	32691243	3870	1
EUR_18	36198008	36505654	307646	39
EUR_18	40538208	40541166	2958	1
EUR_18	41170307	41185884	15577	2
EUR_18	45278228	45291241	13013	2
EUR_19	1164478	1247512	83034	11
EUR_19	2031684	2064962	33278	5
EUR_19	4105281	4111093	5812	1
EUR_19	4796348	4837910	41562	6
EUR_19	6494181	6567053	72872	10
EUR_19	7699085	7709509	10424	2
EUR_19	7764827	7908597	143770	19
EUR_19	10306597	10403389	96792	13
EUR_19	13761312	13905762	144450	19
EUR_19	14971954	15000465	28511	4
EUR_19	16017613	16026806	9193	2
EUR_19	19529137	19572494	43357	6
EUR_19	31345291	31351416	6125	1
EUR_19	31400738	31499618	98880	13
EUR_19	31981633	31984356	2723	1
EUR_19	35984762	36007338	22576	3
EUR_19	40589603	40599336	9733	2
EUR_19	41862428	42003534	141106	18
EUR_19	46234794	46305737	70943	9
EUR_19	46927089	47022994	95905	13
EUR_19	47354042	47398829	44787	6
EUR_19	1173834	1247512	73678	10
EUR_19	1893530	1901169	7639	1
EUR_19	2035623	2183723	148100	19
EUR_19	2955498	3021356	65858	9
EUR_19	6602745	6644537	41792	6
EUR_19	11231187	11305525	74338	10
EUR_19	11360944	11376232	15288	2
EUR_19	11411292	11448832	37540	5
EUR_19	14342828	14370739	27911	4
EUR_19	17795981	17983358	187377	24
EUR_19	19529137	19572494	43357	6
EUR_19	23636556	23685874	49318	7
EUR_19	25036175	25059948	23773	3
EUR_19	31959352	32117417	158065	20
EUR_19	32131221	32163383	32162	5
EUR_19	33387820	33398262	10442	2
EUR_19	35978019	36030630	52611	7
EUR_19	36498078	36506563	8485	2
EUR_19	41170307	41185884	15577	2
EUR_19	47939354	48009694	70340	9
EUR_19	49184424	49262031	77607	10
EUR_20	1970613	1987907	17294	3
EUR_20	2145504	2203773	58269	8
EUR_20	4027908	4111093	83185	11
EUR_20	6721990	6730412	8422	2
EUR_20	10920126	10920372	246	1
EUR_20	11588046	11705104	117058	15
EUR_20	13246701	13266111	19410	3
EUR_20	14716633	14723200	6567	1
EUR_20	17795981	17983358	187377	24
EUR_20	19634530	19653747	19217	3
EUR_20	31156524	31197280	40756	6
EUR_20	31400738	31435275	34537	5
EUR_20	31458689	31553001	94312	12
EUR_20	31969301	31982644	13343	2
EUR_20	32169554	32361768	192214	25
EUR_20	32571370	32653956	82586	11
EUR_20	41000258	41035598	35340	5
EUR_20	41896558	41897997	1439	1
EUR_20	47939354	47993516	54162	7
EUR_20	49184424	49242283	57859	8
EUR_20	1181898	1247512	65614	9
EUR_20	2031684	2076710	45026	6
EUR_20	2183069	2207970	24901	4
EUR_20	2736684	2850589	113905	15
EUR_20	6602745	6691638	88893	12
EUR_20	7789196	7826660	37464	5
EUR_20	7931322	7937075	5753	1
EUR_20	10306597	10325463	18866	3
EUR_20	11066790	11122255	55465	7
EUR_20	11216018	11305525	89507	12
EUR_20	11360944	11448832	87888	12
EUR_20	24917505	25026027	108522	14
EUR_20	25364212	25408113	43901	6
EUR_20	31458689	31553001	94312	12
EUR_20	32404436	32417734	13298	2
EUR_20	40538208	40541166	2958	1
EUR_20	47306832	47334656	27824	4
EUR_21	2183069	2207970	24901	4
EUR_21	2662974	2850589	187615	24
EUR_21	3629717	3635080	5363	1
EUR_21	4059349	4076524	17175	3
EUR_21	10583877	10600945	17068	3
EUR_21	10920126	10920372	246	1
EUR_21	11630302	11661430	31128	4
EUR_21	14811750	14835169	23419	3
EUR_21	17464442	17527378	62936	8
EUR_21	25002639	25038480	35841	5
EUR_21	25042635	25096390	53755	7
EUR_21	25271432	25303883	32451	5
EUR_21	25449426	25457748	8322	2
EUR_21	25579466	25588077	8611	2
EUR_21	31345291	31351416	6125	1
EUR_21	31400738	31499618	98880	13
EUR_21	32574334	32653956	79622	11
EUR_21	36299913	36347691	47778	7
EUR_21	40573481	40666971	93490	12
EUR_21	41000258	41101715	101457	13
EUR_21	41119295	41156450	37155	5
EUR_21	41202794	41244714	41920	6
EUR_21	41896558	41897997	1439	1
EUR_21	41994539	42003534	8995	2
EUR_21	46116775	46122503	5728	1
EUR_21	46400309	46422460	22151	3
EUR_21	46927089	47022994	95905	13
EUR_21	47306832	47334656	27824	4
EUR_21	1970613	1987907	17294	3
EUR_21	2145504	2203773	58269	8
EUR_21	6178548	6231837	53289	7
EUR_21	6280026	6327028	47002	6
EUR_21	11066790	11073633	6843	1
EUR_21	11216018	11305525	89507	12
EUR_21	11360944	11448832	87888	12
EUR_21	11576374	11581877	5503	1
EUR_21	11630302	11705104	74802	10
EUR_21	12459526	12474378	14852	2
EUR_21	13779593	13848449	68856	9
EUR_21	15422489	15468482	45993	6
EUR_21	24984486	25059948	75462	10
EUR_21	25095560	25217316	121756	16
EUR_21	25324980	25458170	133190	17
EUR_21	30341238	30350365	9127	2
EUR_21	31689000	31699987	10987	2
EUR_21	36562799	36570547	7748	1
EUR_21	40605745	40610338	4593	1
EUR_21	41000258	41131799	131541	17
EUR_21	41896558	41897997	1439	1
EUR_21	47309597	47314366	4769	1
EUR_21	47359870	47402804	42934	6
EUR_22	4105281	4111093	5812	1
EUR_22	4796348	4837910	41562	6
EUR_22	6494181	6567053	72872	10
EUR_22	7699085	7709509	10424	2
EUR_22	7764827	7908597	143770	19
EUR_22	10306597	10403389	96792	13
EUR_22	13761312	13905762	144450	19
EUR_22	14971954	15000465	28511	4
EUR_22	16017613	16026806	9193	2
EUR_22	19529137	19572494	43357	6
EUR_22	29160901	29246395	85494	11
EUR_22	31397377	31420442	23065	3
EUR_22	31907198	31907462	264	1
EUR_22	32026816	32046391	19575	3
EUR_22	32486086	32653956	167870	22
EUR_22	32987286	33095558	108272	14
EUR_22	36004808	36045432	40624	6
EUR_22	36251755	36370813	119058	16
EUR_22	36484847	36506563	21716	3
EUR_22	40524070	40536346	12276	2
EUR_22	40639759	40701244	61485	8
EUR_22	1173834	1247512	73678	10
EUR_22	2716070	2819887	103817	14
EUR_22	5430664	5442656	11992	2
EUR_22	6602745	6693324	90579	12
EUR_22	10929987	10974365	44378	6
EUR_22	13779593	13965781	186188	24
EUR_22	14811750	14835169	23419	3
EUR_22	21296343	21369344	73001	10
EUR_22	23598533	23621741	23208	3
EUR_22	29160901	29269615	108714	14
EUR_22	31397377	31420442	23065	3
EUR_22	31907198	31907462	264	1
EUR_22	32026816	32046391	19575	3
EUR_22	32555637	32557896	2259	1
EUR_22	33387820	33398262	10442	2
EUR_22	36036358	36045432	9074	2
EUR_22	40538208	40541166	2958	1
EUR_22	46927089	47022994	95905	13
EUR_22	47502449	47598720	96271	13
EUR_22	48317426	48338230	20804	3
EUR_23	2586193	2591704	5511	1
EUR_23	3040653	3231239	190586	25
EUR_23	4027908	4053090	25182	4
EUR_23	4199680	4242130	42450	6
EUR_23	6721990	6730412	8422	2
EUR_23	7553361	7709509	156148	20
EUR_23	7719766	7790051	70285	9
EUR_23	11360944	11448832	87888	12
EUR_23	11634629	11705104	70475	9
EUR_23	13779593	13848449	68856	9
EUR_23	16631188	16643210	12022	2
EUR_23	17799560	17983358	183798	24
EUR_23	23674305	23727889	53584	7
EUR_23	24930056	24952712	22656	3
EUR_23	25535104	25562146	27042	4
EUR_23	30527970	30531255	3285	1
EUR_23	36117337	36206135	88798	12
EUR_23	41170307	41185884	15577	2
EUR_23	45262397	45300374	37977	5
EUR_23	46234794	46426354	191560	25
EUR_23	47939354	47995369	56015	8
EUR_23	48317426	48338230	20804	3
EUR_23	2072165	2106323	34158	5
EUR_23	2106396	2171835	65439	9
EUR_23	2267871	2305247	37376	5
EUR_23	2586193	2591704	5511	1
EUR_23	7772784	7826660	53876	7
EUR_23	7931322	7934643	3321	1
EUR_23	10313325	10325463	12138	2
EUR_23	11028018	11089473	61455	8
EUR_23	11360944	11448832	87888	12
EUR_23	12722250	12727281	5031	1
EUR_23	13209473	13266111	56638	8
EUR_23	16017613	16026806	9193	2
EUR_23	17795981	17965967	169986	22
EUR_23	24906972	24995850	88878	12
EUR_23	31689000	31699987	10987	2
EUR_23	32647767	32653956	6189	1
EUR_23	36534455	36556603	22148	3
EUR_23	40562275	40603797	41522	6
EUR_23	40605745	40610338	4593	1
EUR_23	41018197	41102990	84793	11
EUR_23	46286724	46333462	46738	6
EUR_23	47306832	47401302	94470	12
EUR_24	2035623	2183723	148100	19
EUR_24	2962937	3021356	58419	8
EUR_24	4796348	4837910	41562	6
EUR_24	11216018	11300483	84465	11
EUR_24	11413058	11448832	35774	5
EUR_24	11576374	11581877	5503	1
EUR_24	11630302	11661430	31128	4
EUR_24	12433292	12574791	141499	18
EUR_24	14342828	14370739	27911	4
EUR_24	17795981	17983358	187377	24
EUR_24	22780357	22848615	68258	9
EUR_24	23670739	23685874	15135	2
EUR_24	24964913	25109458	144545	19
EUR_24	31959352	32117417	158065	20
EUR_24	32131221	32163383	32162	5
EUR_24	36484847	36506563	21716	3
EUR_24	41170307	41185884	15577	2
EUR_24	46234794	46305737	70943	9
EUR_24	46927089	47022994	95905	13
EUR_24	47354042	47398829	44787	6
EUR_24	864720	887567	22847	3
EUR_24	1893530	1901169	7639	1
EUR_24	2035623	2073997	38374	5
EUR_24	6602745	6693324	90579	12
EUR_24	10506272	10515574	9302	2
EUR_24	11112002	11124106	12104	2
EUR_24	11216018	11300483	84465	11
EUR_24	11630302	11661430	31128	4
EUR_24	13223772	13236473	12701	2
EUR_24	13805314	13848449	43135	6
EUR_24	16877935	16926510	48575	7
EUR_24	19289490	19299322	9832	2
EUR_24	25036175	25059948	23773	3
EUR_24	29283502	29342089	58587	8
EUR_24	31156524	31223787	67263	9
EUR_24	31871395	31914145	42750	6
EUR_24	32486086	32487380	1294	1
EUR_24	32987286	33050163	62877	8
EUR_24	36025195	36138327	113132	15
EUR_24	36415068	36493462	78394	10
EUR_24	40663673	40698609	34936	5
EUR_24	41110284	41139372	29088	4
EUR_24	41164519	41199187	34668	5
EUR_24	41284321	41286477	2156	1
EUR_24	41963213	42003534	40321	6
EUR_24	47939354	48020626	81272	11
EUR_25	4310596	4327436	16840	3
EUR_25	4774414	4837910	63496	9
EUR_25	6178548	6231837	53289	7
EUR_25	6280026	6327028	47002	6
EUR_25	10506272	10515574	9302	2
EUR_25	11112002	11124106	12104	2
EUR_25	11216018	11277910	61892	8
EUR_25	11360944	11448832	87888	12
EUR_25	11608194	11652073	43879	6
EUR_25	12722250	12725608	3358	1
EUR_25	25036175	25059948	23773	3
EUR_25	25326987	25395086	68099	9
EUR_25	25513659	25588077	74418	10
EUR_25	30527970	30531255	3285	1
EUR_25	31259615	31289686	30071	4
EUR_25	31618281	31684536	66255	9
EUR_25	32420876	32427441	6565	1
EUR_25	32530188	32616759	86571	11
EUR_25	36498078	36506563	8485	2
EUR_25	47306832	47401302	94470	12
EUR_25	47939354	47988402	49048	7
EUR_25	2035623	2183723	148100	19
EUR_25	2689398	2850589	161191	21
EUR_25	5430664	5442656	11992	2
EUR_25	7671170	7821324	150154	19
EUR_25	11216018	11300483	84465	11
EUR_25	11413058	11448832	35774	5
EUR_25	11576374	11581877	5503	1
EUR_25	12039587	12078012	38425	5
EUR_25	12485443	12493640	8197	2
EUR_25	19529137	19572494	43357	6
EUR_25	25036175	25059948	23773	3
EUR_25	25326987	25395086	68099	9
EUR_25	25513659	25588077	74418	10
EUR_25	31156524	31197280	40756	6
EUR_25	31306130	31355236	49106	7
EUR_25	31458689	31553001	94312	12
EUR_25	32612479	32622255	9776	2
EUR_25	36251755	36322999	71244	9
EUR_25	41018197	41126897	108700	14
EUR_25	41230434	41293961	63527	9
EUR_25	45262397	45300374	37977	5
EUR_25	45933305	45943076	9771	2
EUR_25	47939354	47988402	49048	7
EUR_26	1933997	2038598	104601	14
EUR_26	6632925	6693324	60399	8
EUR_26	7716657	7937075	220418	28
EUR_26	10306597	10347695	41098	6
EUR_26	10410256	10434431	24175	4
EUR_26	10926913	11122255	195342	25
EUR_26	11360944	11448832	87888	12
EUR_26	14799338	14799442	104	1
EUR_26	17795981	17965967	169986	22
EUR_26	25036175	25059948	23773	3
EUR_26	25156063	25200643	44580	6
EUR_26	31397377	31429485	32108	5
EUR_26	33387820	33398262	10442	2
EUR_26	36562799	36570547	7748	1
EUR_26	40531320	40531689	369	1
EUR_26	40563707	40611721	48014	7
EUR_26	41110284	41139372	29088	4
EUR_26	41164519	41199187	34668	5
EUR_26	41284321	41286477	2156	1
EUR_26	45879695	45943076	63381	8
EUR_26	47939354	48020626	81272	11
EUR_26	1930497	1951751	21254	3
EUR_26	2586193	2591704	5511	1
EUR_26	2976790	3014601	37811	5
EUR_26	3629717	3635080	5363	1
EUR_26	6178548	6231837	53289	7
EUR_26	6280026	6327028	47002	6
EUR_26	10360652	10496133	135481	18
EUR_26	11216018	11242636	26618	4
EUR_26	11522761	11705104	182343	24
EUR_26	12485443	12493640	8197	2
EUR_26	14811750	14835169	23419	3
EUR_26	14995879	15000465	4586	1
EUR_26	16877935	16926510	48575	7
EUR_26	17795981	17983358	187377	24
EUR_26	19206122	19299322	93200	12
EUR_26	19518241	19572494	54253	7
EUR_26	19634530	19653747	19217	3
EUR_26	22780357	22808210	27853	4
EUR_26	23657108	23685874	28766	4
EUR_26	24917505	25000341	82836	11
EUR_26	25063829	25072185	8356	2
EUR_26	25445356	25446530	1174	1
EUR_26	31199864	31223787	23923	4
EUR_26	31618281	31657640	39359	5
EUR_26	33193910	33215777	21867	3
EUR_26	35997174	36045432	48258	7
EUR_26	36252432	36516866	264434	34
EUR_26	41170307	41185884	15577	2
EUR_26	46363306	46426354	63048	8
EUR_26	47939354	47995369	56015	8
EUR_27	1930497	1935134	4637	1
EUR_27	2183069	2207970	24901	4
EUR_27	3374706	3437224	62518	8
EUR_27	6280026	6288163	8137	2
EUR_27	9724941	9770756	45815	6
EUR_27	10506272	10515574	9302	2
EUR_27	10918022	11122255	204233	26
EUR_27	11216018	11300483	84465	11
EUR_27	11556391	11573908	17517	3
EUR_27	11599177	11705104	105927	14
EUR_27	12485443	12493640	8197	2
EUR_27	13812627	13858796	46169	6
EUR_27	14342828	14370739	27911	4
EUR_27	17795981	17965967	169986	22
EUR_27	25019110	25096390	77280	10
EUR_27	25564046	25565639	1593	1
EUR_27	26016673	26086202	69529	9
EUR_27	29160901	29295582	134681	18
EUR_27	31397377	31429485	32108	5
EUR_27	32235566	32299496	63930	9
EUR_27	35983215	36045432	62217	8
EUR_27	36498078	36506563	8485	2
EUR_27	40531320	40531689	369	1
EUR_27	40563707	40611721	48014	7
EUR_27	46116775	46122503	5728	1
EUR_27	46400309	46422460	22151	3
EUR_27	46927089	47021613	94524	12
EUR_27	47939354	47944895	5541	1
EUR_27	2586193	2591704	5511	1
EUR_27	4027908	4111093	83185	11
EUR_27	6591884	6600481	8597	2
EUR_27	6632925	6697931	65006	9
EUR_27	10419745	10500263	80518	11
EUR_27	10579081	10600945	21864	3
EUR_27	11216018	11305525	89507	12
EUR_27	11360944	11448832	87888	12
EUR_27	12485443	12493640	8197	2
EUR_27	12722250	12727281	5031	1
EUR_27	15349260	15371253	21993	3
EUR_27	16017613	16026806	9193	2
EUR_27	16620763	16643210	22447	3
EUR_27	19634530	19636192	1662	1
EUR_27	24925998	25003609	77611	10
EUR_27	25319231	25426466	107235	14
EUR_27	30527970	30531255	3285	1
EUR_27	31689000	31699987	10987	2
EUR_27	32239869	32244978	5109	1
EUR_27	32421222	32533666	112444	15
EUR_27	36498078	36506563	8485	2
EUR_27	40538208	40541166	2958	1
EUR_27	41170307	41185884	15577	2
EUR_27	41231126	41293961	62835	8
EUR_27	41995847	42003534	7687	1
EUR_28	1893530	2049118	155588	20
EUR_28	2183069	2207970	24901	4
EUR_28	2928891	2998774	69883	9
EUR_28	3629717	3635080	5363	1
EUR_28	6602745	6693324	90579	12
EUR_28	10506272	10515574	9302	2
EUR_28	10918022	10960271	42249	6
EUR_28	11216018	11305525	89507	12
EUR_28	11360944	11448832	87888	12
EUR_28	13794548	13848449	53901	7
EUR_28	14826871	14835169	8298	2
EUR_28	19206122	19263382	57260	8
EUR_28	19634530	19653747	19217	3
EUR_28	23598533	23727889	129356	17
EUR_28	24917505	25003609	86104	11
EUR_28	25296870	25395086	98216	13
EUR_28	27864112	27920486	56374	8
EUR_28	31689000	31699987	10987	2
EUR_28	33142597	33174401	31804	5
EUR_28	33316144	33385032	68888	9
EUR_28	35997174	36045432	48258	7
EUR_28	36562799	36570547	7748	1
EUR_28	40538208	40541166	2958	1
EUR_28	41943839	42003534	59695	8
EUR_28	47306832	47428103	121271	16
EUR_28	47939354	47995369	56015	8
EUR_28	1970613	1987907	17294	3
EUR_28	2145504	2203773	58269	8
EUR_28	4836612	4837910	1298	1
EUR_28	5730825	5739172	8347	2
EUR_28	6280026	6288163	8137	2
EUR_28	6404273	6493098	88825	12
EUR_28	6632925	6724200	91275	12
EUR_28	10306597	10325463	18866	3
EUR_28	11216018	11232841	16823	3
EUR_28	11442334	11448832	6498	1
EUR_28	11576374	11581877	5503	1
EUR_28	11630302	11661430	31128	4
EUR_28	14799338	14799442	104	1
EUR_28	15159254	15187887	28633	4
EUR_28	15349260	15371253	21993	3
EUR_28	25045274	25075933	30659	4
EUR_28	25095346	25106748	11402	2
EUR_28	25319231	25426466	107235	14
EUR_28	30341238	30350365	9127	2
EUR_28	31379113	31417248	38135	5
EUR_28	41052157	41092081	39924	6
EUR_28	41896558	41897997	1439	1
EUR_28	45278228	45291241	13013	2
EUR_28	47306832	47428103	121271	16
EUR_28	47939354	47995369	56015	8
EUR_29	1893530	2111905	218375	28
EUR_29	2183069	2207970	24901	4
EUR_29	4836612	4837910	1298	1
EUR_29	6458044	6522708	64664	9
EUR_29	6602745	6693324	90579	12
EUR_29	10920126	10920372	246	1
EUR_29	11216018	11305525	89507	12
EUR_29	11360944	11448832	87888	12
EUR_29	14966249	15000465	34216	5
EUR_29	16981590	17046677	65087	9
EUR_29	17047990	17049268	1278	1
EUR_29	20308976	20366403	57427	8
EUR_29	24814107	24852861	38754	5
EUR_29	25002639	25038480	35841	5
EUR_29	25042635	25096390	53755	7
EUR_29	25174124	25217316	43192	6
EUR_29	25324980	25535269	210289	27
EUR_29	25772135	25783655	11520	2
EUR_29	31871395	31914145	42750	6
EUR_29	32486086	32580983	94897	12
EUR_29	35999847	36045432	45585	6
EUR_29	36207118	36308077	100959	13
EUR_29	41018197	41071130	52933	7
EUR_29	41110284	41139372	29088	4
EUR_29	41164519	41199187	34668	5
EUR_29	45879695	45943076	63381	8
EUR_29	1893530	1901169	7639	1
EUR_29	2105113	2106323	1210	1
EUR_29	2183069	2207970	24901	4
EUR_29	2845976	2851899	5923	1
EUR_29	6823045	6831612	8567	2
EUR_29	11231187	11305525	74338	10
EUR_29	11360944	11376232	15288	2
EUR_29	11648276	11667319	19043	3
EUR_29	12722250	12727281	5031	1
EUR_29	13215258	13257060	41802	6
EUR_29	19558531	19572494	13963	2
EUR_29	31259615	31289686	30071	4
EUR_29	31458689	31553001	94312	12
EUR_29	31969301	31982644	13343	2
EUR_29	33193910	33215777	21867	3
EUR_29	36562799	36570547	7748	1
EUR_29	40531320	40531689	369	1
EUR_29	40563707	40611721	48014	7
EUR_29	41000258	41101715	101457	13
EUR_29	41119295	41156450	37155	5
EUR_29	41202794	41244714	41920	6
EUR_29	45278228	45291241	13013	2
EUR_29	47306832	47398829	91997	12
EUR_30	2064212	2077862	13650	2
EUR_30	5430664	5442656	11992	2
EUR_30	6602745	6679305	76560	10
EUR_30	10506272	10515574	9302	2
EUR_30	10918022	10960271	42249	6
EUR_30	11216018	11305525	89507	12
EUR_30	13161428	13266111	104683	14
EUR_30	13794548	13796948	2400	1
EUR_30	14342828	14370739	27911	4
EUR_30	25063829	25109458	45629	6
EUR_30	25196096	25238029	41933	6
EUR_30	27801587	27920486	118899	16
EUR_30	30341238	30350365	9127	2
EUR_30	31779686	31782178	2492	1
EUR_30	31981633	31984356	2723	1
EUR_30	36251755	36370813	119058	16
EUR_30	36484847	36506563	21716	3
EUR_30	40562275	40631332	69057	9
EUR_30	40655249	40719108	63859	9
EUR_30	47306832	47323219	16387	3
EUR_30	3397828	3423214	25386	4
EUR_30	3444377	3533432	89055	12
EUR_30	6516080	6538844	22764	3
EUR_30	10918022	11122255	204233	26
EUR_30	11266596	11305525	38929	5
EUR_30	11360944	11448832	87888	12
EUR_30	11634629	11705104	70475	9
EUR_30	12722250	12727281	5031	1
EUR_30	13215258	13257060	41802	6
EUR_30	15159254	15371253	211999	27
EUR_30	19608973	19624910	15937	3
EUR_30	22877798	22921455	43657	6
EUR_30	23628581	23672001	43420	6
EUR_30	32404436	32417734	13298	2
EUR_30	35872885	36062214	189329	24
EUR_30	36101549	36405919	304370	39
EUR_30	40562275	40603797	41522	6
EUR_30	40605745	40610338	4593	1
EUR_30	41018197	41102990	84793	11
EUR_30	45278228	45278901	673	1
EUR_30	46363306	46426354	63048	8
EUR_30	47317924	47398829	80905	11
EUR_30	48303107	48395063	91956	12
EUR_31	1930497	2038598	108101	14
EUR_31	2105113	2106323	1210	1
EUR_31	3245951	3271593	25642	4
EUR_31	3450249	3533432	83183	11
EUR_31	10918022	10946307	28285	4
EUR_31	11216018	11300483	84465	11
EUR_31	11360944	11448832	87888	12
EUR_31	16017613	16026806	9193	2
EUR_31	16635937	16643210	7273	1
EUR_31	23598533	23685874	87341	12
EUR_31	25036175	25059948	23773	3
EUR_31	25348769	25395086	46317	6
EUR_31	29988032	30005156	17124	3
EUR_31	30527970	30531255	3285	1
EUR_31	31397377	31429485	32108	5
EUR_31	31871395	31914145	42750	6
EUR_31	32987286	33095558	108272	14
EUR_31	40524070	40531689	7619	1
EUR_31	40589603	40719108	129505	17
EUR_31	41896558	41897997	1439	1
EUR_31	41986958	42003534	16576	3
EUR_31	45924407	45930425	6018	1
EUR_31	46298955	46426354	127399	17
EUR_31	864720	879695	14975	2
EUR_31	1930497	1951751	21254	3
EUR_31	2586193	2591704	5511	1
EUR_31	10918022	10937334	19312	3
EUR_31	11231187	11305525	74338	10
EUR_31	11360944	11376232	15288	2
EUR_31	11411292	11448832	37540	5
EUR_31	11576374	11581877	5503	1
EUR_31	11630302	11659169	28867	4
EUR_31	13761312	13930944	169632	22
EUR_31	21296343	21369344	73001	10
EUR_31	30527970	30531255	3285	1
EUR_31	31881906	31914145	32239	5
EUR_31	32023457	32046391	22934	3
EUR_31	32555637	32557896	2259	1
EUR_31	33142597	33174401	31804	5
EUR_31	35997174	36045432	48258	7
EUR_31	36207118	36308077	100959	13
EUR_31	40605745	40610338	4593	1
EUR_31	41000258	41101715	101457	13
EUR_31	41119295	41156450	37155	5
EUR_31	41202794	41244714	41920	6
EUR_31	47306832	47401302	94470	12
EUR_31	47939354	47988402	49048	7
EUR_32	2031684	2064962	33278	5
EUR_32	2968010	2982769	14759	2
EUR_32	3409882	3431986	22104	3
EUR_32	4310596	4327436	16840	3
EUR_32	5463548	5470404	6856	1
EUR_32	6178548	6231837	53289	7
EUR_32	6280026	6327028	47002	6
EUR_32	6721990	6730412	8422	2
EUR_32	10875976	10880965	4989	1
EUR_32	11360944	11448832	87888	12
EUR_32	11576374	11581877	5503	1
EUR_32	11630302	11685547	55245	7
EUR_32	14342828	14370739	27911	4
EUR_32	15159254	15187887	28633	4
EUR_32	15349260	15371253	21993	3
EUR_32	21296343	21369344	73001	10
EUR_32	30527970	30531255	3285	1
EUR_32	31689000	31699987	10987	2
EUR_32	32647767	32653956	6189	1
EUR_32	36117337	36206135	88798	12
EUR_32	41000258	41199187	198929	26
EUR_32	46103551	46172105	68554	9
EUR_32	864720	879695	14975	2
EUR_32	1662412	1896093	233681	30
EUR_32	1960680	2062085	101405	13
EUR_32	4836612	4837910	1298	1
EUR_32	6458044	6522708	64664	9
EUR_32	6602745	6693324	90579	12
EUR_32	11360944	11448832	87888	12
EUR_32	11608194	11652073	43879	6
EUR_32	12485443	12493640	8197	2
EUR_32	13794548	13848449	53901	7
EUR_32	24656133	24793106	136973	18
EUR_32	29275614	29342089	66475	9
EUR_32	32555637	32557896	2259	1
EUR_32	33142597	33174401	31804	5
EUR_32	36299913	36347691	47778	7
EUR_32	41000258	41199187	198929	26
EUR_32	49184424	49242283	57859	8
EUR_33	1173834	1247512	73678	10
EUR_33	1839886	1896093	56207	8
EUR_33	1960680	2049123	88443	12
EUR_33	2586193	2591704	5511	1
EUR_33	3040653	3231239	190586	25
EUR_33	4027908	4093603	65695	9
EUR_33	6602745	6724200	121455	16
EUR_33	13779593	13856104	76511	10
EUR_33	17795981	17983358	187377	24
EUR_33	23025500	23039318	13818	2
EUR_33	23598533	23685791	87258	12
EUR_33	24967092	24995861	28769	4
EUR_33	25002639	25076490	73851	10
EUR_33	25078149	25217316	139167	18
EUR_33	25291565	25303883	12318	2
EUR_33	25449426	25457748	8322	2
EUR_33	25772135	25783655	11520	2
EUR_33	29283502	29329902	46400	6
EUR_33	30527970	30531255	3285	1
